cod_modelo_color,des_filename,cod_color,des_color,des_sex,des_age,des_line,des_fabric,des_product_category,des_product_aggregated_family,des_product_family,des_product_type,attribute_name,test_id
88_49729938,88_49729938_67086340-88_.jpg,88,FUCSIA,Female,Adult,WOMAN,WOVEN,Bottoms,Trousers & leggings,Trousers,Trousers,waist_type,88_49729938_waist_type
88_49732663,88_49732663_67077143-TM_.jpg,TM,TEJANO MEDIO,Female,Adult,WOMAN,JEANS,Bottoms,Skirts and shorts,Shorts,Bermudas,waist_type,88_49732663_waist_type
88_49730270,88_49730270_67038273-05_.jpg,05,CRUDO,Female,Adult,WOMAN,WOVEN,Bottoms,Trousers & leggings,Trousers,Trousers,waist_type,88_49730270_waist_type
88_49718120,88_49718120_67034445-TO_.jpg,TO,TEJANO OSCURO,Male,Adult,MAN,JEANS,Bottoms,Jeans,Jeans,Jeans,waist_type,88_49718120_waist_type
88_49727625,88_49727625_67077908-PL_.jpg,PL,PLATA,Female,Young,WOMAN,SYNTHETIC LEATHER,Bottoms,Skirts and shorts,Skirts,Skirt,waist_type,88_49727625_waist_type
88_49708301,88_49708301_67000645-99_.jpg,99,NEGRO,Male,Adult,MAN,WOVEN,Bottoms,Trousers & leggings,Trousers,Trousers,waist_type,88_49708301_waist_type
88_49713067,88_49713067_67060668-08_B.jpg,08,BEIGE,Unisex,Newborn,KIDS,WOVEN,Bottoms,Trousers & leggings,Trousers,Trousers,waist_type,88_49713067_waist_type
88_49727098,88_49727098_67067910-05_.jpg,05,CRUDO,Female,Adult,WOMAN,WOVEN,Bottoms,Trousers & leggings,Trousers,Trousers,waist_type,88_49727098_waist_type
88_49717950,88_49717950_67000678-99_.jpg,99,NEGRO,Female,Teen,KIDS,JEANS,Bottoms,Jeans,Jeans,Jeans,waist_type,88_49717950_waist_type
88_49733482,88_49733482_67079228-70_.jpg,70,ROJO,Female,Adult,WOMAN,WOVEN,Bottoms,Skirts and shorts,Shorts,Shorts,waist_type,88_49733482_waist_type
88_49712244,88_49712244_67080655-99_.jpg,99,NEGRO,Female,Adult,WOMAN,WOVEN,Bottoms,Skirts and shorts,Skirts,Skirt,waist_type,88_49712244_waist_type
88_49708676,88_49708676_67010347-TN_.jpg,TN,TEJANO NEGRO,Female,Adult,WOMAN,JEANS,Bottoms,Jeans,Jeans,Jeans,waist_type,88_49708676_waist_type
88_49720728,88_49720728_67035143-85_.jpg,85,ROSA,Female,Teen,KIDS,JEANS,Bottoms,Jeans,Jeans,Jeans,waist_type,88_49720728_waist_type
88_49713587,88_49713587_67040673-TN_.jpg,TN,TEJANO NEGRO,Female,Adult,WOMAN,JEANS,Bottoms,Jeans,Jeans,Jeans,waist_type,88_49713587_waist_type
88_49718595,88_49718595_67015989-43_.jpg,43,VERDE,Male,Adult,MAN,WOVEN,Bottoms,Trousers & leggings,Trousers,Trousers,waist_type,88_49718595_waist_type
88_49710557,88_49710557_67040408-40_.jpg,40,VERDE PASTEL,Female,Adult,WOMAN,WOVEN,Bottoms,Skirts and shorts,Shorts,Shorts,waist_type,88_49710557_waist_type
88_49727637,88_49727637_67110261-TM_.jpg,TM,TEJANO MEDIO,Female,Adult,WOMAN,JEANS,Bottoms,Skirts and shorts,Shorts,Shorts,waist_type,88_49727637_waist_type
88_49712595,88_49712595_67070660-TN_B.jpg,TN,TEJANO NEGRO,Male,Kids,KIDS,JEANS,Bottoms,Jeans,Jeans,Jeans,waist_type,88_49712595_waist_type
88_49723355,88_49723355_67097697-99_.jpg,99,NEGRO,Male,Adult,MAN,WOVEN,Bottoms,Trousers & leggings,Trousers,Trousers,waist_type,88_49723355_waist_type
88_49711342,88_49711342_67020646-BB_.jpg,BB,BLUEBLACK,Male,Adult,MAN,JEANS,Bottoms,Jeans,Jeans,Jeans,waist_type,88_49711342_waist_type
88_49708006,88_49708006_67000273-05_.jpg,05,CRUDO,Female,Adult,WOMAN,WOVEN,Bottoms,Skirts and shorts,Shorts,Shorts,waist_type,88_49708006_waist_type
88_49736546,88_49736546_67049234-14_.jpg,14,LIMA,Female,Adult,WOMAN,WOVEN,Bottoms,Trousers & leggings,Trousers,Trousers,waist_type,88_49736546_waist_type
88_49734840,88_49734840_67058656-TS_.jpg,TS,TEJANO SOFT,Female,Adult,WOMAN,JEANS,Bottoms,Skirts and shorts,Shorts,Shorts,waist_type,88_49734840_waist_type
88_49719384,88_49719384_67074458-35_.jpg,35,TOPO,Male,Kids,KIDS,WOVEN,Bottoms,Trousers & leggings,Trousers,Trousers,waist_type,88_49719384_waist_type
88_49723573,88_49723573_67056324-40_.jpg,40,VERDE PASTEL,Female,Adult,WOMAN,WOVEN,Bottoms,Trousers & leggings,Trousers,Trousers,waist_type,88_49723573_waist_type
88_49728729,88_49728729_67099226-11_.jpg,11,AMARILLO PASTEL,Female,Young,WOMAN,WOVEN,Bottoms,Skirts and shorts,Skirts,Skirt,waist_type,88_49728729_waist_type
88_49734465,88_49734465_67077146-01_.jpg,01,BLANCO,Female,Adult,WOMAN,WOVEN,Bottoms,Skirts and shorts,Skirts,Skirt,waist_type,88_49734465_waist_type
88_49710206,88_49710206_67010640-TG_.jpg,TG,TEJANO GRIS,Male,Adult,MAN,JEANS,Bottoms,Jeans,Jeans,Jeans,waist_type,88_49710206_waist_type
88_49719359,88_49719359_67064458-92_.jpg,92,GRIS,Female,Adult,WOMAN,WOVEN,Bottoms,Skirts and shorts,Skirts,Skirt,waist_type,88_49719359_waist_type
88_49733871,88_49733871_67087717-37_.jpg,37,KHAKI,Female,Adult,WOMAN,WOVEN,Bottoms,Trousers & leggings,Trousers,Trousers,waist_type,88_49733871_waist_type
88_49724931,88_49724931_67064790-PL_.jpg,PL,PLATA,Female,Adult,WOMAN,WOVEN,Bottoms,Trousers & leggings,Trousers,Trousers,waist_type,88_49724931_waist_type
88_49732665,88_49732665_67085757-43_.jpg,43,VERDE,Female,Adult,WOMAN,WOVEN,Bottoms,Skirts and shorts,Shorts,Shorts,waist_type,88_49732665_waist_type
88_49713778,88_49713778_67040464-99_.jpg,99,NEGRO,Female,Adult,WOMAN,SYNTHETIC LEATHER,Bottoms,Trousers & leggings,Trousers,Trousers,waist_type,88_49713778_waist_type
88_49736547,88_49736547_67069231-01_.jpg,01,BLANCO,Female,Adult,WOMAN,WOVEN,Bottoms,Trousers & leggings,Trousers,Trousers,waist_type,88_49736547_waist_type
88_49717332,88_49717332_67095137-37_.jpg,37,KHAKI,Male,Adult,MAN,JEANS,Bottoms,Jeans,Jeans,Jeans,waist_type,88_49717332_waist_type
88_49716624,88_49716624_67016732-06_.jpg,06,PIEDRA,Male,Adult,MAN,WOVEN,Bottoms,Trousers & leggings,Trousers,Trousers,waist_type,88_49716624_waist_type
88_49725635,88_49725635_67086030-TM_B.jpg,TM,TEJANO MEDIO,Female,Kids,KIDS,JEANS,Bottoms,Skirts and shorts,Shorts,Shorts,waist_type,88_49725635_waist_type
88_49727808,88_49727808_67097912-52_.jpg,52,AZUL,Female,Young,WOMAN,JEANS,Bottoms,Jeans,Jeans,Jeans,waist_type,88_49727808_waist_type
88_49717699,88_49717699_67004025-01_.jpg,01,BLANCO,Female,Adult,WOMAN,JEANS,Bottoms,Jeans,Jeans,Jeans,waist_type,88_49717699_waist_type
88_49709814,88_49709814_67010632-TG_.jpg,TG,TEJANO GRIS,Male,Adult,MAN,JEANS,Bottoms,Jeans,Jeans,Jeans,waist_type,88_49709814_waist_type
88_49708296,88_49708296_67000640-56_.jpg,56,NAVY,Male,Adult,MAN,WOVEN,Bottoms,Trousers & leggings,Trousers,Trousers,waist_type,88_49708296_waist_type
88_49726815,88_49726815_67046332-52_.jpg,52,AZUL,Female,Adult,WOMAN,WOVEN,Bottoms,Trousers & leggings,Trousers,Trousers,waist_type,88_49726815_waist_type
88_49720076,88_49720076_67097111-05_.jpg,05,CRUDO,Female,Adult,WOMAN,WOVEN,Bottoms,Trousers & leggings,Trousers,Trousers,waist_type,88_49720076_waist_type
88_49735315,88_49735315_67067720-11_.jpg,11,AMARILLO PASTEL,Female,Adult,WOMAN,WOVEN,Bottoms,Trousers & leggings,Trousers,Trousers,waist_type,88_49735315_waist_type
88_49719639,88_49719639_67034463-43_B.jpg,43,VERDE,Male,Baby,KIDS,CIRCULAR,Bottoms,Trousers & leggings,Leggings and joggers,Joggers,waist_type,88_49719639_waist_type
88_49731327,88_49731327_67037722-TG_.jpg,TG,TEJANO GRIS,Female,Teen,KIDS,JEANS,Bottoms,Skirts and shorts,Shorts,Shorts,waist_type,88_49731327_waist_type
88_49713586,88_49713586_67030674-TU_.jpg,TU,TEJANO GRIS OSCURO,Female,Adult,WOMAN,JEANS,Bottoms,Jeans,Jeans,Jeans,waist_type,88_49713586_waist_type
88_49712186,88_49712186_67010661-56_B.jpg,56,NAVY,Male,Baby,KIDS,WOVEN,Bottoms,Trousers & leggings,Trousers,Trousers,waist_type,88_49712186_waist_type
88_49717289,88_49717289_67050453-TC_.jpg,TC,TEJANO CLARO,Female,Teen,KIDS,JEANS,Bottoms,Jeans,Jeans,Jeans,waist_type,88_49717289_waist_type
88_49705918,88_49705918_67020256-TM_.jpg,TM,TEJANO MEDIO,Female,Adult,WOMAN,JEANS,Bottoms,Skirts and shorts,Shorts,Shorts,waist_type,88_49705918_waist_type
88_49722081,88_49722081_67075737-84_.jpg,84,CHICLE,Female,Adult,WOMAN,WOVEN,Bottoms,Skirts and shorts,Skirts,Skirt,waist_type,88_49722081_waist_type
88_49710195,88_49710195_67010271-TO_.jpg,TO,TEJANO OSCURO,Male,Adult,MAN,JEANS,Bottoms,Jeans,Jeans,Jeans,waist_type,88_49710195_waist_type
88_49724891,88_49724891_67016019-59_.jpg,59,PETROLEO,Male,Teen,KIDS,WOVEN,Bottoms,Skirts and shorts,Shorts,Bermudas,waist_type,88_49724891_waist_type
88_49708338,88_49708338_67040296-07_.jpg,07,ARENA,Female,Adult,WOMAN,JEANS,Bottoms,Jeans,Jeans,Jeans,waist_type,88_49708338_waist_type
88_49728520,88_49728520_67087911-99_.jpg,99,NEGRO,Female,Young,WOMAN,WOVEN,Bottoms,Skirts and shorts,Skirts,Skirt,waist_type,88_49728520_waist_type
88_49722246,88_49722246_67086002-99_.jpg,99,NEGRO,Female,Adult,WOMAN,WOVEN,Bottoms,Trousers & leggings,Trousers,Trousers,waist_type,88_49722246_waist_type
88_49717050,88_49717050_67082533-81_.jpg,81,ROSA PASTEL,Female,Adult,WOMAN,WOVEN,Bottoms,Skirts and shorts,Shorts,Shorts,waist_type,88_49717050_waist_type
88_49731285,88_49731285_67018272-30_.jpg,30,MARRON,Male,Adult,MAN,WOVEN,Bottoms,Trousers & leggings,Trousers,Trousers,waist_type,88_49731285_waist_type
88_49710207,88_49710207_67010645-TM_.jpg,TM,TEJANO MEDIO,Male,Adult,MAN,JEANS,Bottoms,Jeans,Jeans,Jeans,waist_type,88_49710207_waist_type
88_49727355,88_49727355_67084479-99_.jpg,99,NEGRO,Female,Adult,WOMAN,WOVEN,Bottoms,Trousers & leggings,Trousers,Trousers,waist_type,88_49727355_waist_type
88_49709566,88_49709566_67010370-08_.jpg,08,BEIGE,Female,Adult,WOMAN,WOVEN,Bottoms,Skirts and shorts,Skirts,Skirt,waist_type,88_49709566_waist_type
88_49736181,88_49736181_67017150-30_.jpg,30,MARRON,Female,Adult,WOMAN,WOVEN,Bottoms,Skirts and shorts,Skirts,Skirt,waist_type,88_49736181_waist_type
88_49711371,88_49711371_67070450-01_.jpg,01,BLANCO,Male,Adult,MAN,WOVEN,Bottoms,Trousers & leggings,Trousers,Trousers,waist_type,88_49711371_waist_type
88_49727532,88_49727532_67054792-99_.jpg,99,NEGRO,Female,Adult,WOMAN,WOVEN,Bottoms,Trousers & leggings,Trousers,Trousers,waist_type,88_49727532_waist_type
88_49716826,88_49716826_67035978-37_.jpg,37,KHAKI,Male,Adult,MAN,WOVEN,Bottoms,Trousers & leggings,Trousers,Trousers,waist_type,88_49716826_waist_type
88_49706910,88_49706910_67074437-TM_.jpg,TM,TEJANO MEDIO,Female,Adult,WOMAN,JEANS,Bottoms,Jeans,Jeans,Jeans,waist_type,88_49706910_waist_type
88_49715911,88_49715911_67054439-55_.jpg,55,TINTA,Male,Adult,MAN,WOVEN,Bottoms,Trousers & leggings,Trousers,Trousers,waist_type,88_49715911_waist_type
88_49708339,88_49708339_67040298-07_.jpg,07,ARENA,Female,Adult,WOMAN,JEANS,Bottoms,Jeans,Jeans,Jeans,waist_type,88_49708339_waist_type
88_49719839,88_49719839_67024459-35_B.jpg,35,TOPO,Male,Baby,KIDS,CIRCULAR,Bottoms,Trousers & leggings,Leggings and joggers,Joggers,waist_type,88_49719839_waist_type
88_49729948,88_49729948_67088269-02_.jpg,02,OFFWHITE,Female,Teen,KIDS,WOVEN,Bottoms,Skirts and shorts,Shorts,Shorts,waist_type,88_49729948_waist_type
88_49712593,88_49712593_67070660-TC_.jpg,TC,TEJANO CLARO,Male,Kids,KIDS,JEANS,Bottoms,Jeans,Jeans,Jeans,waist_type,88_49712593_waist_type
