cod_modelo_color,cane_height_type,closure_placement,heel_shape_type,knit_structure,length_type,neck_lapel_type,silhouette_type,sleeve_length_type,toecap_type,waist_type,woven_structure
81_1045021,,,,,,26,37,,,,
81_1045024,,,,1,,5,,2,,,
81_1045028,,,,,,26,37,2,,,
81_1045055,,,,1,,24,,,,,
81_1045070,,,,,,,14,,,,
81_1045087,,,,,,,1,,,,
81_1045090,,,,,,,14,,,,
81_1045096,,,,,10,,,,,,
81_1045118,,,,,,26,25,2,,,
81_1045140,,,,,,26,34,2,,,
81_1045144,,,,1,,5,,2,,,
81_1045173,,,,1,,5,,2,,,
81_1045174,,,,1,,5,,2,,,
81_1045177,,,,,10,,34,,,,
81_1045180,,,,,,,14,,,,
81_1045181,,,,,,26,37,2,,,
81_1045188,,,,1,,5,,1,,,
81_1045205,,,,,3,,,,,,
81_1045219,,,,,,26,37,,,,
81_1045220,,,,1,,24,,,,,
81_1045225,,,,,,,14,,,,
81_1045233,,,,,,18,34,2,,,
81_1045244,,,,,,,14,,,,
81_1045254,,,,1,,26,,1,,,
81_1045263,,,,,,,14,,,,
81_1045266,,,,,,26,37,2,,,
81_1045275,,,,,4,,34,,,,
81_1045276,,,,,,26,,,,,
81_1045281,,,,,,26,37,2,,,
81_1045282,,,,,10,,,,,,
81_1045284,,,,1,,5,,2,,,
81_1045288,,,,1,,5,,2,,,
81_1045293,,,,,,,1,,,,
81_1045297,,,,,,5,,1,,,
81_1045316,,,,,,26,,,,,
81_1045321,,,,,,,14,,,,
81_1045330,,,,,,,14,,,,
81_1045333,,,,,,,14,,,,
81_1045349,,,,,,26,37,,,,
81_1045352,,,,,,26,37,2,,,
81_1045359,,,,,,26,25,2,,,
81_1045370,,,,,,17,34,1,,,
81_1045398,,,,,10,,,,,,
81_1045422,,,,,,17,34,1,,,
81_1045424,,,,,,17,34,1,,,
81_1045441,,,,,10,,,,,,
81_1045450,,,,,,12,37,2,,,
81_1045471,,,,,10,,37,,,,
81_1045484,,,,,10,,37,,,,
81_1045486,,,,,,12,37,2,,,
81_1045489,,,,1,,5,,2,,,
81_1045496,,,,,,12,37,2,,,
81_1045501,,,,,,26,37,,,,
81_1045538,,,,,,26,34,,,,
81_1045540,,,,,,17,34,1,,,
81_1045576,,,,,,26,34,2,,,
81_1045598,,,,,,5,,1,,,
81_1045601,,,,,,26,37,2,,,
81_1045623,,,,,,12,37,2,,,
81_1045625,,,,,,28,,,,,
81_1045637,,,,,,12,37,2,,,
81_1045641,,,,1,,5,,2,,,
81_1045643,,,,,,17,34,1,,,
81_1045657,,,,,10,,34,,,,
81_1045688,,,,,,12,37,2,,,
81_1045697,,,,,,12,37,2,,,
81_1045704,,,,,,26,37,,,,
81_1045719,,,,1,,5,,2,,,
81_1045729,,,,,,17,34,1,,,
81_1045734,,,,,,18,34,2,,,
81_1045778,,,,,,26,37,2,,,
81_1045819,,,,,,26,37,,,,
81_1045824,,,,,,17,34,1,,,
81_1045831,,,,,10,,37,,,,
81_1045836,,,,,,26,37,,,,
81_1045888,,,,,,17,34,1,,,
81_1045908,,,,,,26,34,2,,,
81_1045912,,,,,,26,34,2,,,
81_1045920,,,,,10,,,,,,
81_1045953,,,,,,17,34,1,,,
81_1045963,,,,,,,14,,,,
81_1045971,,,,,,26,37,,,,
81_1045991,,,,,,26,37,2,,,
81_1046028,,,,,,12,37,2,,,
81_1046051,,,,,,17,34,2,,,
81_1046054,,,,,,26,,,,,
81_1046074,,,,,,26,37,2,,,
81_1046082,,,,,,17,34,1,,,
81_1046111,,,,,3,,,,,,
81_1046114,,,,,,17,34,1,,,
81_1046124,,,,,,17,34,2,,,
81_1046152,,,,,,17,34,1,,,
81_1046155,,,,,,26,34,2,,,
81_1046160,,,,,,26,34,2,,,
81_1046164,,,,,,26,34,2,,,
81_1046180,,,,,3,,,,,,
81_1046183,,,,,,17,34,2,,,
81_1046232,,,,,,18,34,2,,,
81_1046238,,,,,,5,,1,,,
81_1046245,,,,,,26,34,2,,,
81_1046291,,,,,,18,37,2,,,
81_1046319,,,,,3,,,,,,
81_1046321,,,,,,18,37,2,,,
81_1046343,,,,,,26,37,2,,,
81_1046352,,,,,,26,37,2,,,
81_1046358,,,,,,26,37,2,,,
81_1046411,,,,,,22,37,,,,
81_1046438,,,,1,,26,34,2,,,
81_1046622,,,,1,,24,,,,,
81_1046720,,,,,,7,,,,,
81_1046760,,,,1,,26,34,2,,,
81_1046766,,,,,,7,,,,,
81_1046800,,,,1,,5,,2,,,
81_1046810,,,,1,,5,,2,,,
81_1047035,,,,,,26,37,1,,,
81_1047077,,,,1,,5,,2,,,
81_1047132,,,,1,,5,,2,,,
81_1047139,,,,1,,24,,2,,,
81_1047157,,,,1,,5,,2,,,
81_1047168,,,,1,,1,,2,,,
81_1047175,,,,1,,24,,2,,,
81_1047195,,,,1,,24,,2,,,
81_1047200,,,,,,26,34,1,,,
81_1047214,,,,1,,23,,2,,,
81_1047241,,,,1,,24,,,,,
81_1047246,,,,1,,1,,2,,,
81_1047262,,,,1,,24,,2,,,
81_1047264,,,,1,,24,,,,,
81_1047285,,,,1,,24,,2,,,
81_1047326,,,,1,,5,,2,,,
81_1047329,,,,1,,1,,2,,,
81_1047356,,,,1,,1,,2,,,
81_1047362,,,,1,,24,,2,,,
81_1047368,,,,1,,24,,2,,,
81_1047373,,,,,,26,34,1,,,
81_1047398,,,,1,,1,,2,,,
81_1047424,,,,1,,5,,2,,,
81_1047428,,,,1,,24,,2,,,
81_1047449,,,,1,,24,,,,,
81_1047466,,,,1,,24,,2,,,
81_1047482,,,,1,,5,,2,,,
81_1047506,,,,1,,23,,2,,,
81_1047507,,,,1,,24,,2,,,
81_1047509,,,,1,,5,,2,,,
81_1047512,,,,1,,1,,2,,,
81_1047819,,,,,,26,37,2,,,
81_1047861,,,,,,4,37,2,,,
81_1047965,,,,,,26,34,2,,,
81_1047982,,,,,,26,34,2,,,
81_1048255,,,,,,26,34,2,,,
81_1048410,,,,,10,,34,,,,
81_1048412,,,,,,26,37,2,,,
81_1048416,,,,1,,16,37,4,,,
81_1048417,,,,,7,,32,2,,,
81_1048420,,,,,4,,38,,,1,
81_1048435,,,,1,,16,37,4,,,
81_1048450,,,,,4,,36,,,4,
81_1048469,,,,,,26,34,2,,,
81_1048476,,,,,7,,32,2,,,
81_1048494,,,,,5,,3,,,4,
81_1048498,,,,,5,,36,,,2,
81_1048511,,,,,7,,32,2,,,
81_1048515,,,,,,26,34,1,,,
81_1048526,,,,,,17,34,1,,,
81_1048554,,,,,5,,31,,,3,
81_1048556,,,,1,,14,37,5,,,
81_1048557,,,,,,18,34,2,,,
81_1048558,,,,,4,,26,,,2,
81_1048566,,,,,,17,34,2,,,
81_1048571,,,,,,18,34,2,,,
81_1048581,,,,,7,,32,2,,,
81_1048598,,,,,5,,36,,,4,
81_1048617,,,,,,17,34,2,,,
81_1048635,,,,1,,14,37,5,,,
81_1048636,,,,,,26,34,2,,,
81_1048640,,,,,3,,32,,,2,
81_1048647,,,,,4,,26,,,2,
81_1048655,,,,,3,,32,,,4,
81_1048664,,,,,4,,38,,,1,
81_1048665,,,,1,,14,37,5,,,
81_1048666,,,,,,17,34,1,,,
81_1048691,,,,1,,14,37,5,,,
81_1048692,,,,,5,,,2,,,
81_1048706,,,,,4,,38,,,1,
81_1048727,,,,,4,,26,,,2,
81_1048801,,,,,4,,36,,,4,
81_1048803,,,,1,,16,37,4,,,
81_1048804,,,,,,26,37,1,,,
81_1048813,,,,,4,,38,,,1,
81_1048839,,,,,3,,32,,,2,
81_1048843,,,,,5,,36,,,2,
81_1048865,,,,,5,,36,,,2,
81_1048870,,,,,3,,32,,,4,
81_1048873,,,,,4,,26,,,2,
81_1048881,,,,,10,,34,,,,
81_1048912,,,,,10,,34,,,,
81_1048931,,,,,5,,36,,,4,
81_1048983,,,,,3,,32,,,4,
81_1049006,,,,,5,,31,,,3,
81_1049011,,,,,,26,34,2,,,
81_1049035,,,,,3,,32,,,4,
81_1049082,,,,,3,,,,,1,
81_1049143,,,,,,26,34,2,,,
81_1049180,,,,,4,,36,,,4,
81_1049196,,,,,4,,36,,,4,
81_1049224,,,,,3,,,2,,,
81_1049364,,,,,,5,32,1,,,
81_1049388,,4,,1,,31,,2,,,
81_1049417,,,,,8,5,20,1,,,
81_1049420,,,,,,25,34,2,,,
81_1049449,,,,,,7,,,,,
81_1049467,,,,,,26,34,2,,,
81_1049553,,,,,,26,34,2,,,
81_1049566,,,,,4,,32,,,2,
81_1049596,,6,,,,7,,,,,
81_1049630,,4,,1,,31,,2,,,
81_1049665,,,,1,,5,,1,,,
81_1049697,,,,1,,5,,,,,
81_1049699,,4,,1,,31,,2,,,
81_1049728,,,,,,7,,,,,
81_1049732,,4,,1,,31,,2,,,
81_1049741,,,,,,17,34,2,,,
81_1049770,,,,1,,26,,1,,,
81_1049773,,4,,1,,31,,2,,,
81_1049834,,,,,4,,26,,,2,
81_1049903,,,,,3,6,32,2,,,
81_1049963,,,,1,,14,32,5,,,
81_1050012,,,,1,5,,3,,,2,
81_1050025,,,,1,5,24,32,2,,,
81_1050031,,6,,3,,,32,2,,,
81_1050051,,,,3,,14,32,5,,,
81_1050130,,,,3,,24,32,2,,,
81_1050239,,,,1,5,14,32,5,,,
81_1050299,,,,,4,,,,,,
81_1050300,,,,,10,,37,,,,
81_1050301,,,,,10,,37,,,,
81_1050307,,6,,,,,,2,,,
81_1050314,,,,,10,,37,,,,
81_1050327,,,,,,,1,,,,
81_1050336,,,,,10,,37,,,,
81_1050361,,,,,3,,37,,,,
81_1050366,,,,,,,1,,,,
81_1050378,,,,,10,,37,,,,
81_1050402,,,,,10,,37,,,,
81_1050411,,,,,4,,,,,,
81_1050419,,,,,3,,37,,,,
81_1050428,,,,,3,,37,,,,
81_1050429,,,,,,26,37,2,,,
81_1050442,,,,,,,1,,,,
81_1050459,,,,,4,,,,,,
81_1050473,,,,,4,,,,,,
81_1050478,,,,,4,,,,,,
81_1050481,,,,,10,,37,,,,
81_1050492,,,,,,,1,,,,
81_1050493,,,,,10,,37,,,,
81_1050502,,,,,4,,,,,,
81_1050514,,,,,,26,37,2,,,
81_1050526,,,,,,,1,,,,
81_1050533,,,,,4,,,,,,
81_1050537,,,,,4,,,,,,
81_1050548,,,,,10,,,,,,
81_1050564,,,,,,,1,,,,
81_1050568,,,,,,26,,,,,
81_1050572,,,,,10,,37,,,,
81_1050575,,,,,10,,,,,,
81_1050623,,,,,,7,,,,,
81_1050636,,,,,10,,,,,,
81_1050679,,,,,,7,,,,,
81_1050692,,,,,3,,32,,,1,
81_1050697,,,,,3,,32,,,2,
81_1050700,,,,,,7,,,,,
81_1050706,,,,,,26,,,,,
81_1050710,,,,,3,,32,,,1,
81_1050727,,,,,,9,,,,,
81_1050747,,,,,,9,,,,,
81_1050776,,,,,3,,32,,,2,
81_1050954,,,,,,,,1,,,
81_1050971,,,,,,,,1,,,
81_1050972,,,,,5,,37,,,,
81_1050979,,,,,,,,1,,,
81_1050994,,,,,4,18,37,,,,
81_1051008,,,,,,5,32,1,,,
81_1051025,,6,,,,7,,2,,,
81_1051026,,,,,8,5,32,4,,,
81_1051033,,,,,10,,,,,,
81_1051047,,,,,,5,32,1,,,
81_1051050,,,,,4,,17,,,2,
81_1051060,,,,,,,,1,,,
81_1051148,,,,,,17,34,1,,,
81_1051492,,,,,3,6,32,1,,,
81_1051533,,,,,,,1,,,,
81_1051566,,,,1,8,24,,1,,,
81_1051599,,6,,3,,24,32,2,,,
81_1051634,,,7,,,,,,,,
81_1051637,,,,1,,5,32,2,,,
81_1051647,,,7,,,,,,,,
81_1051659,,6,,3,,24,32,2,,,
81_1051668,,,7,,,,,,,,
81_1051683,,,,3,,14,32,5,,,
81_1051686,,6,,1,5,,32,2,,,
81_1051713,,,,3,,14,32,5,,,
81_1051714,,,,1,8,24,,1,,,
81_1051719,,,,1,,5,32,2,,,
81_1051722,,,,1,,14,32,5,,,
81_1051729,,,7,,,,,,,,
81_1051730,,,,1,,24,32,4,,,
81_1051737,,,,2,4,14,37,4,,,
81_1051750,,6,,1,5,,32,2,,,
81_1051776,,,,1,,24,32,4,,,
81_1051779,,,,,4,6,32,1,,,
81_1051782,,,,,,26,37,2,,,
81_1051785,,,,1,,14,32,5,,,
81_1051878,,,7,,,,,,,,
81_1051924,,,,,10,,,,,,
81_1051950,,,,,10,,,,,,
81_1051977,,,7,,,,,,,,
81_1052016,,,,,10,,,,,,
81_1052029,,,7,,,,,,,,
81_1052072,,,,,10,,,,,,
81_1052122,,,,,5,,32,,,,
81_1052152,,,7,,,,,,,,
81_1052174,,,7,,,,,,,,
81_1052175,,,,,5,,32,,,,
81_1052189,,,,,5,,32,,,,
81_1052249,,,,,5,,32,,,,
81_1052303,,,,,5,,,,,1,
81_1052347,,,,,4,,37,,,,
81_1052353,,,,,4,,37,,,,
81_1052357,,,,,4,,37,,,,
81_1052365,,,,,,9,,,,,
81_1052386,,,,,,17,34,1,,,
81_1052387,,,,,4,,37,,,,
81_1052400,,,,,,9,,,,,
81_1052408,,,,,4,,32,,,,
81_1052415,,,,,5,,,,,1,
81_1052443,,,,,5,,28,,,2,
81_1052487,,,,,4,,37,,,,
81_1052536,,,,,4,,32,,,,
81_1052553,,,,,5,,,,,1,
81_1052563,,,,,5,,28,,,2,
81_1052586,,,,,5,,,,,1,
81_1052653,,,,1,,26,,1,,,
81_1052654,,,,,4,,38,,,2,
81_1052671,,,,1,,24,37,4,,,
81_1052683,,,,1,,26,,1,,,
81_1052685,,,,1,3,24,,1,,,
81_1052691,,,,,4,,32,,,2,
81_1052718,,,,1,,24,37,4,,,
81_1052736,,,,1,3,24,,1,,,
81_1052772,,,,,3,,,,,,
81_1052797,,,,,3,,,1,,,
81_1052824,,,,,,17,34,1,,,
81_1052852,,,7,,,,,,,,
81_1052864,,,,,,17,34,1,,,
81_1052957,,,,1,,5,,1,,,
81_1052965,,,,,5,,,,,1,
81_1052974,,,,1,,5,,1,,,
81_1053166,,,,,3,,,4,,,
81_1053324,,,,,4,,17,,,2,
81_1053354,,,,,4,,17,,,2,
81_1053397,,,,,4,,36,,,4,
81_1053415,,,,,4,,36,,,4,
81_1053417,,,,,10,,37,,,,
81_1053419,,,,,10,,37,,,,
81_1053452,,,,,5,,31,,,3,
81_1053474,,,,,10,,37,,,,
81_1053482,,,,,4,,37,,,,
81_1053762,,,7,,,,,,,,
81_1053806,,6,,,,,,2,,,
81_1053815,,,,,,5,,,,,
81_1053833,,,,,4,,36,,,4,
81_1053841,,1,,,,6,34,2,,,
81_1053844,,,,,4,,36,,,4,
81_1053847,,,,,5,,37,,,,
81_1053864,,6,,,,,,2,,,
81_1053866,,,,,4,,17,,,1,
81_1053875,,1,,,,6,34,2,,,
81_1053879,,1,,,,6,34,2,,,
81_1053881,,,,,3,,,,,,
81_1053884,,,,,5,,32,,,,
81_1053894,,,,,5,,,,,,
81_1053895,,,,,5,,32,,,,
81_1053902,,,,,5,,2,,,,
81_1053917,,,,,4,6,32,1,,,
81_1053919,,,,,5,,,,,,
81_1053920,,,,,4,,36,,,4,
81_1053931,,,,,,,,1,,,
81_1053939,,,,,5,,37,,,,
81_1053940,,,,,5,,12,,,,
81_1053947,,6,,,,,,2,,,
81_1053952,,6,,,,,,2,,,
81_1053972,,,,,5,,2,,,,
81_1053973,,,,,5,,2,,,,
81_1053978,,1,,,,6,34,2,,,
81_1053983,,,,,4,,36,,,4,
81_1053984,,1,,,,6,34,2,,,
81_1054004,,,,,,,,1,,,
81_1054114,,,,1,,5,,2,,,
81_1054132,,,,,4,6,32,1,,,
81_1054190,,,7,,,,,,,,
81_1054327,,,,1,,26,,1,,,
81_1054348,,,,,5,,37,,,,
81_1054379,,,,,5,,37,,,,
81_1054478,,,,,5,,37,,,,
81_1054497,,,,,,,,1,,,
81_1054532,,,,,5,,,,,,
81_1054575,,,,,,24,32,1,,,
81_1054583,,,,,,,,1,,,
81_1054601,,,,,,,,1,,,
81_1054607,,,,,,,,1,,,
81_1054626,,,,,3,,32,2,,,
81_1054654,,,,,,24,32,1,,,
81_1054657,,,,,3,14,20,5,,,
81_1054688,,,,,5,,,,,,
81_1054697,,,,,5,,,,,,
81_1054735,,,,1,,5,,1,,,
81_1054737,,,,,,,,1,,,
81_1054816,,,,,,,,1,,,
81_1054826,,,,,5,,37,,,,
81_1054836,,,7,,,,,,,,
81_1054838,,,,,8,6,,2,,,
81_1054842,,,,,5,,31,,,3,
81_1054851,,,,,,26,,1,,,
81_1054862,,,,,,5,32,1,,,
81_1054868,,,,,4,,2,,,2,
81_1054883,,,,,4,,38,,,1,
81_1054887,,,,,4,,32,,,2,
81_1054894,,,,,,5,37,1,,,
81_1054903,,,,,,5,37,1,,,
81_1054907,,,,,5,,36,,,4,
81_1054934,,,,,5,,36,,,4,
81_1054938,,,,,,5,37,1,,,
81_1054945,,,,,4,,32,,,2,
81_1054966,,,,,4,,32,,,2,
81_1054978,,,,,4,,32,,,2,
81_1054987,,,,,,5,32,1,,,
81_1054992,,,,,,5,,1,,,
81_1055004,,,,,,5,32,1,,,
81_1055036,,,,,4,1,32,4,,,
81_1055050,,,,,,5,,1,,,
81_1055053,,,,,,24,,1,,,
81_1055061,,,,,4,,2,,,2,
81_1055067,,,,,4,,32,,,2,
81_1055073,,,,,,5,32,1,,,
81_1055074,,,,,4,,38,,,1,
81_1055083,,,,,,5,32,1,,,
81_1055144,,,,,4,,2,,,2,
81_1055159,,,,,,14,32,4,,,
81_1055175,,,,,4,,36,,,4,
81_1055198,,,,,4,,36,,,4,
81_1055222,,,,,,26,,1,,,
81_1055229,,,,,,,,2,,,
81_1055235,,,,,5,,36,,,2,
81_1055243,,,,,4,,32,,,,
81_1055303,,,,,,,,2,,,
81_1055310,,,,,5,,,,,1,
81_1055327,,,,,5,,,2,,,
81_1055370,,,,,3,24,32,5,,,
81_1055430,,,,,3,24,32,5,,,
81_1055443,,,,,,26,,1,,,
81_1055445,,,,,,14,32,4,,,
81_1055454,,,,,5,,36,,,2,
81_1055467,,,,,4,,17,,,4,
81_1055472,,,,,,,,2,,,
81_1055483,,,,,3,,,,,,
81_1055499,,,,,,,,1,,,
81_1055500,,,,,,,,1,,,
81_1055502,,,,,,5,,1,,,
81_1055503,,,,,,,,1,,,
81_1055510,,,,,,,,1,,,
81_1055516,,,,,4,,2,,,2,
81_1055517,,,,,5,,37,,,,
81_1055523,,1,,,,6,34,2,,,
81_1055535,,,,,,,,2,,,
81_1055541,,,,,5,,37,,,,
81_1055544,,,,,,,,1,,,
81_1055545,,,,,,,,1,,,
81_1055546,,,,,,,,1,,,
81_1055560,,,,,,,,1,,,
81_1055570,,,,,,,,2,,,
81_1055574,,,,,3,,,,,,
81_1055582,,6,,3,3,,,2,,,
81_1055590,,,,,,,,2,,,
81_1055601,,,,,,,,1,,,
81_1055646,,,,,,,,1,,,
81_1055656,,6,,3,3,,,2,,,
81_1055657,,,,,,,,2,,,
81_1055661,,,,,,,,2,,,
81_1055678,,,,,,,,2,,,
81_1055679,,,,,,,,1,,,
81_1055682,,,,,,,,2,,,
81_1055695,,,,,,,,1,,,
81_1055719,,,,,,,,2,,,
81_1055723,,1,,,,6,34,2,,,
81_1055728,,6,,1,,24,,3,,,
81_1055740,,,,,,24,32,1,,,
81_1055741,,,,1,3,24,,2,,,
81_1055742,,6,,1,,,,2,,,
81_1055759,,,,,,,,1,,,
81_1055766,,,,,,5,32,1,,,
81_1055773,,,,,,24,32,1,,,
81_1055776,,,,1,3,,,2,,,
81_1055779,,,,,,24,32,1,,,
81_1055780,,,,1,3,,,2,,,
81_1055787,,,,1,3,,,2,,,
81_1055789,,,,,,,,2,,,
81_1055797,,6,,,,,,2,,,
81_1055804,,,,,,24,32,1,,,
81_1055811,,6,,1,,,,2,,,
81_1055822,,,,1,3,,,2,,,
81_1055828,,6,,1,,24,,3,,,
81_1055834,,,,,,,,1,,,
81_1055845,,6,,,,,,2,,,
81_1055853,,6,,,,,,2,,,
81_1055857,,,,1,3,24,,2,,,
81_1055881,,,,,5,,37,,,,
81_1055887,,,,1,3,24,,2,,,
81_1055894,,6,,1,,,,2,,,
81_1055907,,,,,,24,32,1,,,
81_1055908,,6,,1,,10,,2,,,
81_1055912,,,,,,5,32,1,,,
81_1055918,,,,,,5,32,1,,,
81_1055947,,6,,1,,24,,2,,,
81_1055951,,6,,1,,,,2,,,
81_1055966,,,,,5,,32,,,,
81_1055977,,6,,1,,,,2,,,
81_1055985,,,,,,7,,2,,,
81_1055992,,,,,5,,32,,,,
81_1055999,,,,,3,,32,,,,
81_1056005,,,,,5,6,32,2,,,
81_1056023,,6,,1,,,,2,,,
81_1056025,,,,,,5,32,1,,,
81_1056026,,,,,5,6,32,2,,,
81_1056028,,,,,,5,32,1,,,
81_1056029,,,,,,,37,,,,
81_1056034,,6,,1,,,,2,,,
81_1056041,,,,3,3,,,,,,
81_1056050,,6,,1,,10,,2,,,
81_1056052,,,,3,3,,,,,,
81_1056053,,,,,,7,,2,,,
81_1056062,,6,,1,,24,,2,,,
81_1056064,,,,,5,14,20,4,,,
81_1056086,,,,3,5,,,2,,,
81_1056088,,,,,,5,32,1,,,
81_1056097,,,,,5,,32,,,,
81_1056099,,6,,1,,10,,2,,,
81_1056102,,,,,,24,32,1,,,
81_1056108,,,,,,7,,2,,,
81_1056110,,,,,,7,,2,,,
81_1056120,,,,,,5,32,1,,,
81_1056121,,,,,,,,1,,,
81_1056122,,,,3,3,23,,2,,,
81_1056126,,,,,5,,32,,,,
81_1056133,,6,,1,,10,,2,,,
81_1056169,,,,,,,,1,,,
81_1056173,,,,,,6,32,2,,,
81_1056189,,,,,,6,32,2,,,
81_1056191,,,,,5,,32,,,,
81_1056229,,,,,,14,32,5,,,
81_1056246,,,,,,5,32,1,,,
81_1056251,,,,,,6,32,1,,,
81_1056267,,,,,4,5,32,5,,,
81_1056268,,,,,,,32,5,,,
81_1056299,,,,,5,,32,,,,
81_1056319,,,,,,24,32,5,,,
81_1056331,,,,,,14,32,5,,,
81_1056340,,,,,,,,1,,,
81_1056348,,,,,,5,32,1,,,
81_1056357,,,,,,5,32,3,,,
81_1056383,,,,,,,,1,,,
81_1056395,,,,,5,,32,,,,
81_1056413,,6,,1,,,,2,,,
81_1056414,,,,,10,,37,,,,
81_1056434,,,,,5,,32,,,,
81_1056436,,,,,5,,28,,,2,
81_1056441,,6,,1,,,,2,,,
81_1056444,,,,,,7,,2,,,
81_1056489,,,,,5,24,37,,,,
81_1056514,,,,,5,24,32,1,,,
81_1056546,,,,,,,,1,,,
81_1056549,,6,,1,,,,2,,,
81_1056555,,,,,,6,32,1,,,
81_1056561,,,,,5,24,37,,,,
81_1056567,,,,,5,,28,,,2,
81_1056574,,,7,,,,,,,,
81_1056601,,,,,,5,,1,,,
81_1056611,,,,,5,,20,,,,
81_1056615,,,,1,3,,,,,,
81_1056642,,,,,4,,,,,2,
81_1056662,,,,,5,,9,,,,
81_1056679,,,,,,5,37,,,,
81_1056694,,,,,4,,,,,2,
81_1056746,,,,,5,24,20,,,,
81_1056758,,,,,3,14,32,5,,,
81_1056762,,,,,5,5,32,1,,,
81_1056809,,,,,,7,,,,,
81_1056853,,,,,,5,32,1,,,
81_1056854,,,,,3,,,,,,
81_1056857,,,,,,,21,,,,
81_1056869,,,,,,5,32,1,,,
81_1056873,,,,1,5,,35,,,,
81_1056914,,,,,3,,,1,,,
81_1056920,,,,1,5,,,,,,
81_1056999,,,,,10,,34,,,,
81_1057003,,,,,,6,32,1,,,
81_1057008,,,,,,6,32,1,,,
81_1057014,,,,,10,,34,,,,
81_1057043,,,,,10,,34,,,,
81_1057066,,,,,,24,32,2,,,
81_1057074,,,,,,19,,2,,,
81_1057075,,,,,5,,37,,,,
81_1057094,,,,,5,,32,,,4,
81_1057097,,,,,5,,37,,,,
81_1057111,,,,,10,,34,,,,
81_1057117,,,,,3,6,32,1,,,
81_1057122,,,,,5,,32,,,4,
81_1057161,,,,,10,,34,,,,
81_1057185,,,,,5,,37,,,,
81_1057203,,,,,5,,37,,,,
81_1057221,,,,1,,,,2,,,
81_1057235,,,,1,3,,,2,,,
81_1057250,,,,1,,,,,,,
81_1057260,,6,,1,,21,,2,,,
81_1057261,,6,,1,,24,,2,,,
81_1057280,,,,1,3,,,2,,,
81_1057290,,,,1,3,,,2,,,
