cod_modelo_color,cod_color,des_sex,des_age,des_line,des_fabric,des_product_category,des_product_aggregated_family,des_product_family,des_product_type,des_filename,des_color,cane_height_type,closure_placement,heel_shape_type,knit_structure,length_type,neck_lapel_type,silhouette_type,sleeve_length_type,toecap_type,waist_type,woven_structure
83_1133004,99,Female,Kids,KIDS,ACCESSORIES,"Accesories, Swim and Intimate",Accessories,Footwear,Ankle Boots,83_1133004_17092525-99_.jpg,NEGRO,3.0,,7.0,,,,,,4.0,,
83_1123503,20,Male,Adult,MAN,CIRCULAR,Tops,T-shirts,Poloshirts,Poloshirt,83_1123503_17061502-20_.jpg,NARANJA,,4.0,,,10.0,25.0,32.0,1.0,,,1.0
86_1212444,41,Female,Kids,KIDS,ACCESSORIES,"Accesories, Swim and Intimate",Accessories,Footwear,Shoes,86_1212444_47013711-41_.jpg,MENTA,,,7.0,,,,,,4.0,,
85_1208596,70,Female,Adult,WOMAN,TRICOT,"Dresses, jumpsuits and Complete set",Dresses and jumpsuits,Dresses,Dress,85_1208596_37047761-70_.jpg,ROJO,,6.0,,2.0,3.0,1.0,32.0,2.0,,,
85_1194936,99,Female,Adult,WOMAN,ACCESSORIES,"Accesories, Swim and Intimate",Accessories,Footwear,Sandals,85_1194936_37051318-99_.jpg,NEGRO,,,1.0,,,,,,3.0,,
85_1199404,99,Female,Adult,WOMAN,TRICOT,"Dresses, jumpsuits and Complete set",Dresses and jumpsuits,Dresses,Dress,85_1199404_37017722-99_.jpg,NEGRO,,6.0,,1.0,3.0,24.0,37.0,2.0,,,
85_1176579,40,Male,Adult,MAN,TRICOT,Tops,T-shirts,T-shirt,T-Shirt,85_1176579_37010732-40_.jpg,VERDE PASTEL,,,,1.0,10.0,31.0,32.0,1.0,,,
85_1181106,99,Female,Adult,WOMAN,WOVEN,Outerwear,Jackets and Blazers,Blazers,Blazer,85_1181106_37020390-99_.jpg,NEGRO,,1.0,,,10.0,29.0,34.0,2.0,,,1.0
85_1206504,52,Female,Adult,WOMAN,CIRCULAR,Tops,Shirts,Shirt,Blouse,85_1206504_37095966-52_.jpg,AZUL,,6.0,,,10.0,24.0,,2.0,,,1.0
83_1134970,08,Female,Adult,WOMAN,WOVEN,Tops,Shirts,Shirt,Blouse,83_1134970_17091104-08_.jpg,BEIGE,,3.0,,,10.0,11.0,32.0,3.0,,,1.0
84_1166071,12,Female,Adult,WOMAN,WOVEN,Bottoms,Trousers & leggings,Trousers,Trousers,84_1166071_27067106-12_.jpg,AMARILLO,,,,,10.0,,32.0,,,2.0,1.0
84_1157761,08,Female,Adult,WOMAN,ACCESSORIES,"Accesories, Swim and Intimate",Accessories,Footwear,Trainers,84_1157761_27051096-08_.jpg,BEIGE,,,7.0,,,,,,4.0,,
85_1183197,02,Female,Adult,WOMAN,CIRCULAR,Tops,Tops,Tops,Top,85_1183197_37050470-02_.jpg,OFFWHITE,,,,,,14.0,,5.0,,,1.0
85_1170974,52,Male,Adult,MAN,WOVEN,Bottoms,Skirts and shorts,Shorts,Bermudas,85_1170974_37040556-52_.jpg,AZUL,,,,,,,37.0,,,4.0,1.0
84_1173499,99,Female,Adult,WOMAN,CIRCULAR,Tops,T-shirts,T-shirt,T-Shirt,84_1173499_27005804-99_.jpg,NEGRO,,,,,,5.0,,2.0,,,1.0
83_1123059,92,Male,Adult,MAN,WOVEN,Outerwear,Jackets and Blazers,Jackets,Jacket,83_1123059_17007105-92_.jpg,GRIS,,1.0,,,7.0,9.0,32.0,2.0,,,3.0
81_1063212,99,Female,Adult,WOMAN,TRICOT,Tops,Sweaters and Cardigans,Sweater,Sweater,81_1063212_77065908-99_.jpg,NEGRO,,,,1.0,,5.0,32.0,2.0,,,
81_1074071,15,Female,Adult,WOMAN,TRICOT,Tops,Sweaters and Cardigans,Cardigans,Cardigan,81_1074071_77087609-15_.jpg,MOSTAZA,,,,2.0,,,32.0,,,,
86_1228030,68,Female,Adult,WOMAN,TRICOT,Tops,Sweaters and Cardigans,Sweater,Sweater,86_1228030_47015879-68_.jpg,MALVA,,6.0,,1.0,10.0,31.0,37.0,2.0,,,
85_1179846,92,Male,Adult,MAN,WOVEN,Bottoms,Trousers & leggings,Trousers,Trousers,85_1179846_37005907-92_.jpg,GRIS,,,,,10.0,,37.0,,,4.0,3.0
83_1131746,99,Female,Adult,WOMAN,WOVEN,Outerwear,Coats and Parkas,Outer Vest,Outer vest,83_1131746_17085910-99_.jpg,NEGRO,,1.0,,,3.0,14.0,27.0,,,,2.0
84_1174683,05,Female,Adult,WOMAN,JEANS,Bottoms,Skirts and shorts,Shorts,Shorts,84_1174683_27057881-05_.jpg,CRUDO,,,,,3.0,,45.0,,,2.0,3.0
84_1151675,99,Male,Teen,KIDS,CIRCULAR,Tops,T-shirts,T-shirt,T-Shirt,84_1151675_27010189-99_.jpg,NEGRO,,,,,10.0,31.0,27.0,1.0,,,1.0
83_1137396,99,Female,Adult,WOMAN,WOVEN,Tops,Tops,Tops,Top,83_1137396_17062892-99_.jpg,NEGRO,,,,,4.0,13.0,37.0,4.0,,,1.0
86_1206898,99,Female,Baby,KIDS,CIRCULAR,Bottoms,Trousers & leggings,Trousers,Trousers,86_1206898_47040158-99_.jpg,NEGRO,,,,,10.0,,32.0,,,2.0,3.0
84_1167989,91,Male,Adult,MAN,CIRCULAR,Tops,Sweaters and Cardigans,Sweatshirts,Sweatshirt,84_1167989_27065908-91_.jpg,GRIS CLARO VIGORE,,6.0,,,10.0,7.0,34.0,3.0,,,1.0
85_1175634,01,Male,Adult,MAN,TRICOT,Tops,T-shirts,Poloshirts,Poloshirt,85_1175634_37020775-01_.jpg,BLANCO,,4.0,,1.0,10.0,25.0,32.0,1.0,,,
86_1219163,TN,Female,Adult,WOMAN,JEANS,Bottoms,Jeans,Jeans,Jeans,86_1219163_47033273-TN_.jpg,TEJANO NEGRO,,,,,5.0,,36.0,,,2.0,3.0
82_1089145,TC,Female,Adult,WOMAN,WOVEN,"Dresses, jumpsuits and Complete set",Dresses and jumpsuits,Dresses,Dress,82_1089145_87090556-TC_.jpg,TEJANO CLARO,,,,,3.0,16.0,32.0,5.0,,,
84_1168651,56,Male,Adult,MAN,CIRCULAR,Tops,T-shirts,Poloshirts,Poloshirt,84_1168651_27055764-56_.jpg,NAVY,,4.0,,,10.0,25.0,37.0,1.0,,,1.0
83_1155128,05,Female,Adult,WOMAN,TRICOT,Tops,Sweaters and Cardigans,Sweater,Sweater,83_1155128_17049084-05_.jpg,CRUDO,,6.0,,3.0,10.0,31.0,32.0,2.0,,,
83_1141160,05,Female,Adult,WOMAN,WOVEN,Outerwear,Jackets and Blazers,Jackets,Jacket,83_1141160_17037713-05_.jpg,CRUDO,,1.0,,,3.0,6.0,27.0,2.0,,,2.0
85_1181768,99,Male,Adult,MAN,WOVEN,Bottoms,Trousers & leggings,Trousers,Trousers,85_1181768_37005908-99_.jpg,NEGRO,,,,,10.0,,32.0,,,4.0,3.0
84_1155630,35,Female,Adult,WOMAN,TRICOT,Tops,Sweaters and Cardigans,Cardigans,Cardigan,84_1155630_27000364-35_.jpg,TOPO,,1.0,,2.0,5.0,24.0,27.0,2.0,,,
83_1150449,05,Female,Adult,WOMAN,TRICOT,Tops,Sweaters and Cardigans,Sweater,Sweater,83_1150449_17017123-05_.jpg,CRUDO,,6.0,,1.0,10.0,3.0,37.0,2.0,,,
86_1223713,52,Male,Kids,KIDS,WOVEN,Bottoms,Skirts and shorts,Shorts,Bermudas,86_1223713_47067826-52_.jpg,AZUL,,,,,,,32.0,,,1.0,3.0
84_1176973,52,Male,Kids,KIDS,CIRCULAR,Tops,T-shirts,T-shirt,T-Shirt,84_1176973_27008261-52_.jpg,AZUL,,,,,10.0,31.0,32.0,1.0,,,3.0
86_1229123,56,Male,Adult,MAN,WOVEN,Bottoms,Trousers & leggings,Trousers,Trousers,86_1229123_47077844-56_.jpg,NAVY,,,,,5.0,,37.0,,,4.0,
83_1149918,92,Female,Adult,WOMAN,WOVEN,Outerwear,Jackets and Blazers,Blazers,Blazer,83_1149918_17076714-92_.jpg,GRIS,,1.0,,,10.0,29.0,32.0,2.0,,,3.0
85_1195621,45,Male,Adult,MAN,CIRCULAR,Tops,Sweaters and Cardigans,Sweatshirts,Sweatshirt,85_1195621_37017712-45_.jpg,AGUA,,1.0,,,10.0,1.0,34.0,3.0,,,2.0
84_1165020,79,Female,Teen,KIDS,CIRCULAR,Tops,Sweaters and Cardigans,Sweatshirts,Sweatshirt,84_1165020_27034391-79_.jpg,CALDERO,,6.0,,,4.0,7.0,27.0,2.0,,,3.0
86_1208654,TM,Female,Adult,WOMAN,JEANS,Bottoms,Jeans,Jeans,Jeans,86_1208654_47000256-TM_.jpg,TEJANO MEDIO,,,,,10.0,,31.0,,,3.0,3.0
83_1132293,02,Female,Adult,WOMAN,WOVEN,Tops,Shirts,Shirt,Blouse,83_1132293_17014050-02_.jpg,OFFWHITE,,3.0,,,4.0,1.0,32.0,6.0,,,1.0
81_1055516,99,Female,Adult,WOMAN,JEANS,Bottoms,Jeans,Jeans,Jeans,81_1055516_77035904-99_.jpg,NEGRO,,,,,4.0,,2.0,,,2.0,
85_1198191,37,Male,Adult,MAN,CIRCULAR,Tops,Sweaters and Cardigans,Sweatshirts,Sweatshirt,85_1198191_37057710-37_.jpg,KHAKI,,4.0,,,10.0,1.0,34.0,2.0,,,2.0
83_1151500,07,Female,Adult,WOMAN,TRICOT,Tops,Sweaters and Cardigans,Cardigans,Cardigan,83_1151500_17047748-07_.jpg,ARENA,,1.0,,1.0,3.0,23.0,32.0,2.0,,,
84_1160131,81,Female,Adult,WOMAN,CIRCULAR,Tops,T-shirts,T-shirt,T-Shirt,84_1160131_27013257-81_.jpg,ROSA PASTEL,,,,,10.0,3.0,34.0,2.0,,,1.0
86_1212062,01,Female,Adult,WOMAN,WOVEN,Tops,Shirts,Shirt,Blouse,86_1212062_47008629-01_.jpg,BLANCO,,6.0,,,10.0,11.0,32.0,3.0,,,1.0
84_1174419,99,Female,Adult,WOMAN,CIRCULAR,"Dresses, jumpsuits and Complete set",Dresses and jumpsuits,Dresses,Dress,84_1174419_27044040-99_.jpg,NEGRO,,6.0,,,3.0,14.0,37.0,5.0,,,1.0
85_1172896,TO,Male,Adult,MAN,JEANS,Bottoms,Jeans,Jeans,Jeans,85_1172896_37010667-TO_.jpg,TEJANO OSCURO,,,,,10.0,,34.0,,,4.0,3.0
83_1146302,99,Female,Adult,WOMAN,TRICOT,Tops,Sweaters and Cardigans,Cardigans,Cardigan,83_1146302_17075950-99_.jpg,NEGRO,,1.0,,1.0,10.0,5.0,32.0,2.0,,,
86_1225964,99,Female,Adult,WOMAN,WOVEN,Bottoms,Trousers & leggings,Trousers,Trousers,86_1225964_47027116-99_.jpg,NEGRO,,,,,5.0,,28.0,,,1.0,1.0
86_1214222,99,Female,Adult,WOMAN,TRICOT,Tops,Sweaters and Cardigans,Sweater,Sweater,86_1214222_47014009-99_.jpg,NEGRO,,6.0,,1.0,10.0,24.0,32.0,2.0,,,
85_1176261,50,Male,Adult,MAN,WOVEN,Tops,Shirts,Shirt,Shirt,85_1176261_37050152-50_.jpg,CELESTE,,1.0,,,10.0,17.0,34.0,1.0,,,1.0
85_1193622,TM,Male,Adult,MAN,JEANS,Bottoms,Jeans,Jeans,Jeans,85_1193622_37043847-TM_.jpg,TEJANO MEDIO,,,,,10.0,,34.0,,,4.0,3.0
84_1166381,87,Female,Adult,WOMAN,TRICOT,Tops,Sweaters and Cardigans,Cardigans,Cardigan,84_1166381_27074022-87_.jpg,CORAL,,1.0,,1.0,10.0,24.0,37.0,2.0,,,
83_1151683,99,Female,Adult,WOMAN,WOVEN,"Dresses, jumpsuits and Complete set",Dresses and jumpsuits,Dresses,Dress,83_1151683_17087746-99_.jpg,NEGRO,,6.0,,,5.0,24.0,20.0,2.0,,,1.0
85_1192300,56,Male,Adult,MAN,WOVEN,Tops,Shirts,Shirt,Shirt,85_1192300_37055921-56_.jpg,NAVY,,1.0,,,10.0,26.0,37.0,2.0,,,1.0
84_1157200,16,Male,Adult,MAN,WOVEN,Tops,Shirts,Shirt,Shirt,84_1157200_27004007-16_.jpg,OCRE,,1.0,,,10.0,26.0,34.0,2.0,,,1.0
84_1163974,88,Female,Adult,WOMAN,WOVEN,"Dresses, jumpsuits and Complete set",Dresses and jumpsuits,Jumpsuit,Jumpsuit,84_1163974_27044390-88_.jpg,FUCSIA,,3.0,,,5.0,24.0,32.0,1.0,,,1.0
82_1110694,01,Female,Adult,WOMAN,CIRCULAR,Tops,T-shirts,T-shirt,T-Shirt,82_1110694_87017146-01_.jpg,BLANCO,,,,,10.0,5.0,34.0,1.0,,,1.0
82_1131975,37,Female,Adult,WOMAN,CIRCULAR,Tops,Sweaters and Cardigans,Sweatshirts,Sweatshirt,82_1131975_87068639-37_.jpg,KHAKI,,4.0,,,5.0,1.0,27.0,2.0,,,1.0
86_14260409,99,Female,Adult,WOMAN,CIRCULAR,"Dresses, jumpsuits and Complete set",Dresses and jumpsuits,Dresses,Dress,86_14260409_47098645-99_.jpg,NEGRO,,6.0,,,5.0,31.0,37.0,3.0,,,1.0
83_1122946,43,Male,Adult,MAN,CIRCULAR,Tops,T-shirts,T-shirt,T-Shirt,83_1122946_17010821-43_.jpg,VERDE,,,,,10.0,24.0,37.0,1.0,,,1.0
81_1075610,95,Female,Kids,KIDS,CIRCULAR,Tops,T-shirts,T-shirt,T-Shirt,81_1075610_77034757-95_.jpg,ANTRACITA,,,,,,21.0,,2.0,,,
85_1202892,08,Female,Adult,WOMAN,JEANS,Bottoms,Skirts and shorts,Skirts,Skirt,85_1202892_37038254-08_.jpg,BEIGE,,1.0,,,9.0,,32.0,,,4.0,3.0
85_1183621,99,Female,Kids,KIDS,CIRCULAR,Bottoms,Trousers & leggings,Leggings and joggers,Leggings,85_1183621_37074755-99_.jpg,NEGRO,,,,,5.0,,,,,1.0,1.0
83_1149780,59,Female,Teen,KIDS,CIRCULAR,Tops,Sweaters and Cardigans,Sweatshirts,Sweatshirt,83_1149780_17008259-59_.jpg,PETROLEO,,6.0,,,10.0,7.0,27.0,2.0,,,3.0
82_1096927,05,Female,Adult,WOMAN,TRICOT,Outerwear,Jackets and Blazers,Vest,Vest,82_1096927_87002022-05_.jpg,CRUDO,,6.0,,3.0,10.0,1.0,32.0,,,,
84_1153486,56,Male,Adult,MAN,WOVEN,Outerwear,Jackets and Blazers,Blazers,Blazer,84_1153486_27050420-56_.jpg,NAVY,,1.0,,,10.0,26.0,37.0,2.0,,,3.0
81_1063716,09,Female,Adult,WOMAN,TRICOT,Tops,Sweaters and Cardigans,Sweater,Sweater,81_1063716_77004402-09_.jpg,CAMEL,,,,3.0,,24.0,32.0,2.0,,,
84_1166270,99,Female,Adult,WOMAN,CIRCULAR,Bottoms,Skirts and shorts,Skirts,Skirt,84_1166270_27076305-99_.jpg,NEGRO,,6.0,,,5.0,,32.0,,,1.0,1.0
84_1162012,08,Female,Adult,WOMAN,WOVEN,"Dresses, jumpsuits and Complete set",Dresses and jumpsuits,Dresses,Dress,84_1162012_27021132-08_.jpg,BEIGE,,6.0,,,5.0,,37.0,5.0,,,1.0
85_1214386,02,Female,Adult,WOMAN,CIRCULAR,Tops,Sweaters and Cardigans,Sweatshirts,Sweatshirt,85_1214386_37028262-02_.jpg,OFFWHITE,,,,,10.0,31.0,34.0,2.0,,,3.0
86_1232739,83,Female,Adult,WOMAN,CIRCULAR,Tops,Tops,Tops,Top,86_1232739_47075877-83_.jpg,ROSA PALO,,,,,,31.0,37.0,3.0,,,1.0
86_1219460,TO,Female,Adult,WOMAN,JEANS,Bottoms,Jeans,Jeans,Jeans,86_1219460_47061313-TO_.jpg,TEJANO OSCURO,,,,,5.0,,12.0,,,4.0,3.0
84_1151733,TN,Male,Teen,KIDS,JEANS,Bottoms,Jeans,Jeans,Jeans,84_1151733_27020200-TN_.jpg,TEJANO NEGRO,,,,,10.0,,36.0,,,4.0,3.0
86_1228742,68,Female,Teen,KIDS,WOVEN,Bottoms,Skirts and shorts,Skirts,Skirt,86_1228742_47042886-68_.jpg,MALVA,,,,,3.0,,20.0,,,4.0,
84_1157014,07,Female,Kids,KIDS,CIRCULAR,Tops,T-shirts,T-shirt,T-Shirt,84_1157014_27001290-07_.jpg,ARENA,,,,,10.0,31.0,37.0,2.0,,,1.0
83_1121343,50,Male,Adult,MAN,WOVEN,Tops,Shirts,Shirt,Shirt,83_1121343_17034012-50_.jpg,CELESTE,,1.0,,,10.0,26.0,34.0,2.0,,,1.0
84_1188740,05,Female,Adult,WOMAN,TRICOT,"Dresses, jumpsuits and Complete set",Dresses and jumpsuits,Dresses,Dress,84_1188740_27078642-05_.jpg,CRUDO,,6.0,,2.0,6.0,5.0,32.0,5.0,,,
82_1094259,99,Female,Kids,KIDS,TRICOT,Tops,Sweaters and Cardigans,Cardigans,Cardigan,82_1094259_87033256-99_.jpg,NEGRO,,6.0,,3.0,3.0,24.0,,2.0,,,
84_1159273,50,Female,Adult,WOMAN,CIRCULAR,Tops,T-shirts,T-shirt,T-Shirt,84_1159273_27001297-50_.jpg,CELESTE,,,,,10.0,10.0,37.0,2.0,,,1.0
81_1059291,08,Male,Adult,MAN,WOVEN,Bottoms,Trousers & leggings,Trousers,Trousers,81_1059291_77085904-08_.jpg,BEIGE,,,,,10.0,,37.0,,,,
85_1184983,56,Male,Adult,MAN,TRICOT,Tops,Sweaters and Cardigans,Sweater,Sweater,85_1184983_37014010-56_.jpg,NAVY,,6.0,,3.0,10.0,7.0,32.0,2.0,,,
86_1209830,05,Male,Adult,MAN,WOVEN,Bottoms,Skirts and shorts,Shorts,Bermudas,86_1209830_47015905-05_.jpg,CRUDO,,,,,,,37.0,,,,
85_1188667,TG,Male,Adult,MAN,JEANS,Bottoms,Jeans,Jeans,Jeans,85_1188667_37032517-TG_.jpg,TEJANO GRIS,,,,,10.0,,37.0,,,4.0,3.0
86_1225836,05,Female,Adult,WOMAN,WOVEN,Bottoms,Skirts and shorts,Skirts,Skirt,86_1225836_47097112-05_.jpg,CRUDO,,3.0,,,5.0,,32.0,,,4.0,3.0
85_1194791,02,Female,Adult,WOMAN,CIRCULAR,Tops,T-shirts,T-shirt,T-Shirt,85_1194791_37004395-02_.jpg,OFFWHITE,,,,,10.0,31.0,32.0,1.0,,,3.0
82_1103924,92,Female,Adult,WOMAN,TRICOT,Tops,Sweaters and Cardigans,Sweater,Sweater,82_1103924_87052019-92_.jpg,GRIS,,,,2.0,,5.0,32.0,2.0,,,
85_1225395,50,Female,Adult,WOMAN,TRICOT,Tops,Tops,Tops,Top,85_1225395_37009211-50_.jpg,CELESTE,,,,1.0,,,,,,,
83_1116383,46,Male,Kids,KIDS,ACCESSORIES,"Accesories, Swim and Intimate",Accessories,Footwear,Slippers,83_1116383_17080144-46_.jpg,TURQUESA,,,7.0,,,,,,4.0,,
81_1061880,99,Female,Adult,WOMAN,SYNTHETIC LEATHER,Bottoms,Skirts and shorts,Skirts,Skirt,81_1061880_77052897-99_.jpg,NEGRO,,,,,8.0,,32.0,,,4.0,
85_1218975,02,Male,Adult,MAN,CIRCULAR,Tops,T-shirts,T-shirt,T-Shirt,85_1218975_37039604-02_.jpg,OFFWHITE,,,,,10.0,31.0,34.0,1.0,,,1.0
83_1127524,02,Male,Adult,MAN,TRICOT,Tops,Sweaters and Cardigans,Sweater,Sweater,83_1127524_17024031-02_.jpg,OFFWHITE,,4.0,,1.0,10.0,23.0,32.0,2.0,,,
81_1065718,99,Female,Adult,WOMAN,WOVEN,"Dresses, jumpsuits and Complete set",Dresses and jumpsuits,Dresses,Dress,81_1065718_77085130-99_.jpg,NEGRO,,,,,3.0,5.0,,1.0,,,
85_1176369,02,Male,Adult,MAN,TRICOT,Tops,T-shirts,Poloshirts,Poloshirt,85_1176369_37010740-02_.jpg,OFFWHITE,,4.0,,1.0,10.0,25.0,32.0,1.0,,,
82_1107569,56,Male,Adult,MAN,WOVEN,Tops,Shirts,Shirt,Shirt,82_1107569_87087121-56_.jpg,NAVY,,1.0,,,10.0,25.0,34.0,1.0,,,1.0
84_1177603,52,Female,Adult,WOMAN,WOVEN,Tops,Shirts,Shirt,Blouse,84_1177603_27059202-52_.jpg,AZUL,,1.0,,,10.0,11.0,20.0,1.0,,,1.0
83_1151976,08,Female,Adult,WOMAN,WOVEN,Tops,Shirts,Shirt,Blouse,83_1151976_17046324-08_.jpg,BEIGE,,1.0,,,5.0,6.0,27.0,2.0,,,1.0
85_1175223,TG,Male,Adult,MAN,JEANS,Bottoms,Skirts and shorts,Shorts,Shorts,85_1175223_37010674-TG_.jpg,TEJANO GRIS,,,,,3.0,,37.0,,,4.0,3.0
82_1089158,49,Male,Adult,MAN,CIRCULAR,Tops,Sweaters and Cardigans,Sweatshirts,Sweatshirt,82_1089158_87040559-49_.jpg,BOTELLA,,,,,10.0,5.0,,2.0,,,
83_1138384,05,Female,Adult,WOMAN,TRICOT,Tops,Sweaters and Cardigans,Cardigans,Cardigan,83_1138384_17035757-05_.jpg,CRUDO,,1.0,,3.0,4.0,24.0,32.0,2.0,,,
82_1089426,99,Female,Adult,WOMAN,CIRCULAR,Bottoms,Skirts and shorts,Skirts,Skirt,82_1089426_87080555-99_.jpg,NEGRO,,6.0,,,5.0,,32.0,,,4.0,2.0
81_1077969,99,Female,Adult,WOMAN,WOVEN,Bottoms,Skirts and shorts,Shorts,Shorts,81_1077969_77079207-99_.jpg,NEGRO,,,,,3.0,,32.0,,,2.0,
84_1150515,56,Male,Adult,MAN,WOVEN,Outerwear,Jackets and Blazers,Vest,Vest,84_1150515_27010120-56_.jpg,NAVY,,1.0,,,10.0,24.0,37.0,,,,1.0
84_1184939,OR,Female,Adult,WOMAN,CIRCULAR,"Dresses, jumpsuits and Complete set",Dresses and jumpsuits,Dresses,Dress,84_1184939_27066335-OR_.jpg,ORO,,6.0,,,5.0,24.0,20.0,2.0,,,1.0
85_1201529,08,Male,Adult,MAN,CIRCULAR,Tops,T-shirts,T-shirt,T-Shirt,85_1201529_37016715-08_.jpg,BEIGE,,,,,10.0,31.0,34.0,1.0,,,1.0
83_1120817,01,Female,Adult,WOMAN,CIRCULAR,Tops,T-shirts,T-shirt,T-Shirt,83_1120817_17000223-01_.jpg,BLANCO,,,,,10.0,31.0,32.0,1.0,,,1.0
84_1173450,85,Female,Adult,WOMAN,CIRCULAR,Tops,T-shirts,T-shirt,T-Shirt,84_1173450_27005803-85_.jpg,ROSA,,,,,,5.0,,2.0,,,1.0
85_1192860,02,Female,Teen,KIDS,CIRCULAR,Tops,T-shirts,T-shirt,T-Shirt,85_1192860_37012885-02_.jpg,OFFWHITE,,,,,10.0,31.0,34.0,1.0,,,1.0
83_1122144,69,Male,Kids,KIDS,TRICOT,Tops,Sweaters and Cardigans,Cardigans,Cardigan,83_1122144_17052877-69_.jpg,MARINO,,1.0,,1.0,10.0,24.0,32.0,2.0,,,1.0
83_1144897,83,Female,Teen,KIDS,CIRCULAR,Tops,Sweaters and Cardigans,Sweatshirts,Sweatshirt,83_1144897_17038255-83_.jpg,ROSA PALO,,6.0,,,10.0,31.0,27.0,2.0,,,3.0
84_1149794,43,Female,Adult,WOMAN,CIRCULAR,Tops,T-shirts,T-shirt,T-Shirt,84_1149794_27000154-43_.jpg,VERDE,,,,,10.0,31.0,32.0,1.0,,,1.0
82_1092830,TM,Female,Adult,WOMAN,JEANS,Bottoms,Skirts and shorts,Skirts,Skirt,82_1092830_87084019-TM_.jpg,TEJANO MEDIO,,1.0,,,8.0,,32.0,,,2.0,3.0
86_1220487,99,Female,Adult,WOMAN,CIRCULAR,"Dresses, jumpsuits and Complete set",Dresses and jumpsuits,Dresses,Dress,86_1220487_47075842-99_.jpg,NEGRO,,5.0,,,3.0,11.0,20.0,2.0,,,1.0
83_1126225,99,Male,Adult,MAN,WOVEN,Outerwear,Coats and Parkas,Coats,Coat,83_1126225_17015533-99_.jpg,NEGRO,,1.0,,,10.0,26.0,34.0,2.0,,,3.0
84_1155091,TC,Female,Kids,KIDS,JEANS,Outerwear,Jackets and Blazers,Jackets,Jacket,84_1155091_27024377-TC_.jpg,TEJANO CLARO,,1.0,,,10.0,6.0,32.0,2.0,,,3.0
81_1058234,99,Female,Adult,WOMAN,WOVEN,Tops,Shirts,Shirt,Shirt,81_1058234_77044003-99_.jpg,NEGRO,,,,,,6.0,32.0,2.0,,,
81_1066429,02,Female,Kids,KIDS,WOVEN,Tops,Shirts,Shirt,Shirt,81_1066429_77025132-02_.jpg,OFFWHITE,,,,,,,34.0,,,,
82_1096702,07,Female,Adult,WOMAN,CIRCULAR,Tops,T-shirts,Bodysuits,Bodysuit,82_1096702_87020571-07_.jpg,ARENA,,,,,,31.0,,2.0,,,1.0
85_1184182,43,Female,Adult,WOMAN,WOVEN,Outerwear,Coats and Parkas,Coats,Coat,85_1184182_37005556-43_.jpg,VERDE,,1.0,,,3.0,6.0,37.0,2.0,,,2.0
